artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Rekha Bhardwaj;Jigar Saraiya;Priya Andrews,Happy Ending (Original Motion Picture Soundtrack),Mileya Mileya,64.0,266279.0,False,0.732,0.466,0.0,-8.403,1.0,0.0383,0.239,0.025,0.149,0.444,125.003,4.0,pop-film
Tegi Pannu;Manni Sandhu,Into You,Into You,64.0,174508.0,False,0.72,0.711,1.0,-6.926,0.0,0.0457,0.309,0.0,0.492,0.713,148.223,4.0,hip-hop
Edward Sharpe & The Magnetic Zeros,Up From Below,Home,73.0,306320.0,False,0.541,0.591,2.0,-6.688,1.0,0.0336,0.289,0.000431,0.124,0.116,111.676,4.0,folk
The Outfield,Play Deep,Your Love,76.0,216466.0,False,0.579,0.654,1.0,-12.421,0.0,0.0553,0.121,3.62e-06,0.0673,0.616,129.537,4.0,power-pop
PLÜM,Crazy,Crazy,67.0,220000.0,False,0.769,0.596,7.0,-9.359,0.0,0.0524,0.0487,0.00803,0.204,0.259,105.032,4.0,french
Dillon Francis;DJ Snake,"Money Sucks, Friends Rule",Get Low,61.0,212773.0,False,0.674,0.932,11.0,-4.424,0.0,0.0859,0.0282,0.71,0.684,0.728,101.033,4.0,edm
a-ha,"East of the Sun, West of the Moon",Crying in the Rain,63.0,260226.0,False,0.394,0.547,2.0,-9.276,1.0,0.0383,0.436,0.000111,0.344,0.151,181.74,4.0,synth-pop
Cults,Static,Always Forever,81.0,223746.0,False,0.174,0.742,8.0,-5.93,1.0,0.0485,0.00181,0.281,0.198,0.36,163.378,4.0,indie-pop
A.R. Rahman;Karthik,Raavanan (Original Motion Picture Soundtrack),Usure Pogudhey,64.0,366506.0,False,0.674,0.663,5.0,-8.886,1.0,0.0619,0.3,2.96e-06,0.101,0.287,92.997,4.0,pop-film
Shankar-Ehsaan-Loy;Rahat Fateh Ali Khan;Shankar Mahadevan;Richa Sharma,My Name Is Khan (Original Motion Picture Soundtrack),Sajdaa,63.0,365706.0,False,0.469,0.737,8.0,-7.274,1.0,0.0762,0.725,0.00272,0.0655,0.572,79.545,4.0,pop-film
Red Hot Chili Peppers,Stadium Arcadium,Snow (Hey Oh),80.0,334666.0,False,0.427,0.9,11.0,-3.674,1.0,0.0499,0.116,1.75e-05,0.119,0.599,104.655,4.0,alt-rock
Paul Young,The Secret Of Association,Every Time You Go Away,61.0,324346.0,False,0.608,0.604,5.0,-12.285,1.0,0.0433,0.169,0.000133,0.106,0.673,164.254,4.0,disco
Cast - Frozen,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),"Frozen Heart - From ""Frozen""/Soundtrack Version",61.0,105293.0,False,0.538,0.481,2.0,-8.716,0.0,0.0997,0.545,0.0,0.086,0.191,95.914,4.0,disney
Pritam;Arijit Singh;Amitabh Bhattacharya;Jonita Gandhi,Brahmastra (Original Motion Picture Soundtrack),Deva Deva,62.0,279107.0,False,0.539,0.729,0.0,-7.588,1.0,0.0412,0.627,0.000941,0.128,0.435,112.074,4.0,indian
A.R. Rahman;Mohit Chauhan,Rockstar,Nadaan Parinde,60.0,384000.0,False,0.507,0.741,6.0,-7.456,0.0,0.0535,0.414,3.95e-06,0.107,0.492,132.903,4.0,pop-film
Shubh,Elevated,Elevated,76.0,200658.0,True,0.828,0.533,6.0,-5.779,0.0,0.091,0.214,2.8e-05,0.307,0.605,93.021,4.0,hip-hop
The Stranglers,La Folie,Golden Brown,71.0,206760.0,False,0.562,0.383,6.0,-15.474,1.0,0.0304,0.143,0.124,0.138,0.599,93.764,3.0,punk-rock
Tulsi Kumar;KK,Aashiqui 2,Piya Aaye Na,61.0,286120.0,False,0.5,0.588,4.0,-7.66,0.0,0.0362,0.641,4.52e-05,0.327,0.35,81.973,4.0,pop-film
Jethro Tull,Aqualung (Special Edition),Locomotive Breath,60.0,266013.0,False,0.68,0.53,11.0,-13.105,0.0,0.0889,0.417,0.011,0.0559,0.352,124.551,4.0,psych-rock
Tom Rosenthal,Z-Sides,Lights Are On,81.0,193749.0,False,0.44,0.04,3.0,-16.887,1.0,0.0322,0.981,0.465,0.111,0.249,135.965,4.0,british
Sufjan Stevens,Carrie & Lowell,Death with Dignity,65.0,239508.0,False,0.514,0.16,4.0,-21.04,1.0,0.0383,0.986,0.0176,0.113,0.395,169.898,4.0,singer-songwriter
Tai Verdes,A-O-K,A-O-K,66.0,173640.0,True,0.731,0.626,11.0,-6.919,1.0,0.0805,0.125,0.0,0.183,0.862,82.488,4.0,indie-pop
Sufjan Stevens,Call Me By Your Name (Original Motion Picture Soundtrack),Futile Devices (Doveman Remix),63.0,135443.0,False,0.462,0.187,4.0,-19.991,1.0,0.0304,0.954,0.847,0.0985,0.252,140.096,4.0,singer-songwriter
Charlie Puth,CHARLIE,Loser,75.0,204376.0,False,0.698,0.623,8.0,-7.845,0.0,0.037,0.623,0.0856,0.179,0.625,102.002,4.0,dance
James Hype;Miggy Dela Rosa,Ferrari,Ferrari,90.0,186661.0,False,0.847,0.69,1.0,-7.877,0.0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,4.0,dance
MKAY,Frozen Gold,Frozen Gold,65.0,138110.0,True,0.88,0.309,11.0,-17.457,0.0,0.394,0.252,0.0,0.0804,0.592,139.991,4.0,chill
Carlos Baute;Marta Sánchez,De mi puño y letra - Edicion Coleccionista,Colgando en tus manos (con Marta Sánchez),77.0,230280.0,False,0.836,0.637,6.0,-4.803,1.0,0.0367,0.535,0.0,0.129,0.875,120.025,4.0,spanish
Arctic Monkeys,Humbug,Crying Lightning,72.0,224826.0,False,0.498,0.885,4.0,-4.423,0.0,0.0461,0.0148,0.00041,0.239,0.67,106.719,4.0,garage
Fiji Blue,Affection,Affection,63.0,174211.0,False,0.827,0.49,10.0,-8.37,0.0,0.055,0.321,0.000137,0.095,0.836,113.002,4.0,chill
Tove Lo,No One Dies From Love,No One Dies From Love,72.0,186018.0,False,0.652,0.801,0.0,-6.632,1.0,0.0576,0.0717,1.22e-06,0.264,0.346,121.099,4.0,swedish
The Neighbourhood,Wiped Out!,Daddy Issues,87.0,260173.0,False,0.588,0.521,10.0,-9.461,1.0,0.0329,0.0678,0.149,0.123,0.337,85.012,4.0,alt-rock
The Blaze,EYES,EYES,64.0,212080.0,False,0.818,0.433,0.0,-10.853,1.0,0.0702,0.175,0.00413,0.124,0.119,119.993,4.0,french
Sukima Switch,夏雲ノイズ,奏(かなで),62.0,328626.0,False,0.519,0.666,10.0,-6.163,1.0,0.0262,0.553,0.000169,0.0948,0.461,149.839,4.0,anime
Enrique Urquijo y Los problemas,Desde Que No Nos Vemos,Aunque tú no lo sepas,61.0,144840.0,False,0.668,0.367,7.0,-8.518,1.0,0.0311,0.691,0.0,0.111,0.504,102.988,4.0,spanish
Syn Cole;Alida,Shadow,Shadow,60.0,166572.0,False,0.786,0.718,0.0,-6.292,0.0,0.04,0.00519,0.000977,0.127,0.525,123.951,4.0,deep-house
Delinquent Habits,Merry Go Round,Return of the Tres,61.0,254640.0,True,0.725,0.8,1.0,-6.829,0.0,0.111,9.12e-05,0.00271,0.0951,0.471,100.609,4.0,hardcore
Dani Martín,Dani Martin,Cero,60.0,259880.0,False,0.491,0.677,11.0,-4.193,1.0,0.0269,0.152,4.78e-06,0.221,0.358,82.032,4.0,spanish
Halsey,BADLANDS (Deluxe),Castle,67.0,277623.0,False,0.626,0.571,7.0,-7.461,0.0,0.0327,0.25,0.0,0.0946,0.164,129.959,4.0,indie-pop
Metallica,"Stranger Things: Soundtrack from the Netflix Series, Season 4",Master of Puppets,69.0,514479.0,False,0.538,0.868,4.0,-7.357,0.0,0.0377,0.000599,0.482,0.199,0.556,105.164,4.0,hard-rock
Christopher Cross,Christopher Cross,Ride Like the Wind,67.0,275506.0,False,0.669,0.707,0.0,-13.66,0.0,0.0478,0.347,0.000716,0.0997,0.806,124.335,4.0,disco
Pritam;Arijit Singh;Amitabh Bhattacharya,Brahmastra (Original Motion Picture Soundtrack),Rasiya Reprise,60.0,285000.0,False,0.34,0.606,4.0,-8.517,1.0,0.0379,0.798,0.00205,0.0963,0.268,151.383,4.0,indian
Vishal-Shekhar;Arijit Singh;Shilpa Rao;Kumaar,"Ghungroo (From ""War"")","Ghungroo (From ""War"")",71.0,302935.0,False,0.695,0.727,6.0,-6.274,0.0,0.0323,0.0744,0.000175,0.533,0.864,118.034,4.0,pop-film
IVE,After LIKE,After LIKE,88.0,176973.0,False,0.68,0.922,0.0,-1.215,1.0,0.121,0.103,0.0,0.0877,0.799,125.014,4.0,k-pop
Bad Bunny;Chencho Corleone,Un Verano Sin Ti,Me Porto Bonito,97.0,178567.0,True,0.911,0.712,1.0,-5.105,0.0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,4.0,latin
Fall Out Boy,Infinity On High,"This Ain't A Scene, It's An Arms Race",70.0,212040.0,False,0.435,0.887,9.0,-4.07,1.0,0.0636,0.000747,0.0,0.0327,0.408,199.935,4.0,emo
Billie Eilish,Happier Than Ever,Billie Bossa Nova,76.0,196730.0,False,0.895,0.389,7.0,-11.036,0.0,0.11,0.222,0.0346,0.105,0.549,110.023,4.0,electro
John Powell,How To Train Your Dragon (Music From The Motion Picture),Romantic Flight - From How To Train Your Dragon Music From The Motion Picture,61.0,116480.0,False,0.221,0.32,6.0,-11.829,1.0,0.0315,0.47,0.864,0.114,0.234,103.511,3.0,british
Andrea Bocelli,Amor (Spanish Edition / Remastered),Bésame Mucho,61.0,241232.0,False,0.521,0.502,5.0,-8.521,0.0,0.0287,0.886,0.02,0.188,0.378,95.028,4.0,opera
Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,Take A Look Around,74.0,321040.0,False,0.425,0.852,11.0,-5.607,1.0,0.046,0.0175,0.306,0.0935,0.512,101.968,4.0,alternative
Shawn Mendes;Justin Bieber,Monster,Monster (Shawn Mendes & Justin Bieber),74.0,178994.0,False,0.652,0.383,2.0,-7.076,0.0,0.0516,0.0676,0.0,0.0828,0.549,145.765,4.0,dance
Starla Edney,Queen of Hearts,Queen of Hearts,63.0,191386.0,False,0.805,0.682,10.0,-5.207,0.0,0.047,0.276,3.23e-06,0.129,0.462,96.009,4.0,indie
Electric Callboy,TEKKNO,Pump It,63.0,172240.0,True,0.442,0.882,8.0,-7.551,1.0,0.0536,3.26e-05,0.0,0.421,0.443,174.077,4.0,metalcore
Paramore,Brand New Eyes,The Only Exception,74.0,267653.0,False,0.452,0.563,4.0,-6.607,1.0,0.0272,0.144,0.0,0.143,0.209,137.715,3.0,emo
awfultune,I Met Sarah in the Bathroom,I Met Sarah in the Bathroom,76.0,121374.0,True,0.675,0.408,0.0,-10.861,1.0,0.142,0.901,0.000714,0.16,0.229,90.111,4.0,indie-pop
Dutch Melrose,Sleepless,Sleepless,59.0,185000.0,False,0.624,0.455,6.0,-7.128,1.0,0.0321,0.0011,1.41e-06,0.135,0.5,117.041,4.0,soul
Badflower,"OK, I'M SICK",Ghost,62.0,259519.0,True,0.505,0.839,11.0,-4.966,0.0,0.0569,0.0111,0.0,0.211,0.326,139.961,4.0,grunge
Sona Mohapatra,Fukrey,Ambarsariya,67.0,248182.0,False,0.649,0.458,4.0,-7.632,0.0,0.0446,0.574,0.0,0.113,0.748,180.071,4.0,pop-film
Red Hot Chili Peppers,Return of the Dream Canteen,Afterlife,63.0,254301.0,False,0.561,0.866,2.0,-5.258,0.0,0.0352,0.00623,0.039,0.0414,0.824,93.104,4.0,alt-rock
The Mamas & The Papas,If You Can Believe Your Eyes & Ears,"Monday, Monday - Single Version",61.0,208293.0,False,0.488,0.464,1.0,-9.496,1.0,0.0284,0.742,0.0,0.57,0.709,109.853,4.0,psych-rock
My Chemical Romance,Three Cheers for Sweet Revenge,Thank You for the Venom,67.0,221093.0,False,0.486,0.977,7.0,-3.463,1.0,0.0603,0.00237,0.0,0.298,0.413,103.501,4.0,emo
Zen Atlas,Peace and Quiet,Peace and Quiet,60.0,210000.0,False,0.135,0.0385,0.0,-29.121,1.0,0.0457,0.284,0.74,0.111,0.0329,70.439,4.0,sleep
Shreya Ghoshal;Arijit Singh,Happy New Year,Manwa Laage,60.0,272082.0,False,0.676,0.671,0.0,-6.271,1.0,0.0526,0.568,0.0,0.0885,0.572,81.046,4.0,pop-film
Cascada,Original Me,Everytime We Touch - Radio Edit,63.0,199120.0,False,0.64,0.977,8.0,-5.369,1.0,0.0555,0.00461,1.68e-05,0.371,0.493,142.019,4.0,german
The Beach Boys,Pet Sounds (Original Mono & Stereo Mix Versions),Sloop John B - Remastered,60.0,180133.0,False,0.567,0.745,8.0,-5.423,1.0,0.0264,0.402,0.0,0.0873,0.903,125.575,4.0,psych-rock
Avenged Sevenfold,Avenged Sevenfold,Afterlife,70.0,352426.0,False,0.487,0.949,2.0,-4.217,0.0,0.0798,0.000429,2.91e-05,0.231,0.406,110.02,4.0,alternative
Burna Boy;Blxst;Kehlani,"Love, Damini",Solid (feat. Blxst & Kehlani),65.0,195134.0,False,0.554,0.509,1.0,-9.429,1.0,0.339,0.149,1.86e-05,0.094,0.718,199.874,4.0,dancehall
Jason Mraz,Love Is a Four Letter Word,I Won't Give Up,69.0,240165.0,False,0.483,0.303,4.0,-10.058,1.0,0.0429,0.694,0.0,0.115,0.139,133.406,3.0,acoustic
DMX,Grand Champ,X Gon' Give It To Ya - Int'l Bonus track,62.0,219733.0,False,0.754,0.825,10.0,-5.366,0.0,0.194,0.039,0.0,0.0744,0.64,95.073,4.0,hardcore
The Crystals,Da Doo Ron Ron: The Very Best of The Crystals,Da Doo Ron Ron (When He Walked Me Home),59.0,140120.0,False,0.535,0.797,3.0,-7.533,1.0,0.0459,0.48,3.42e-05,0.141,0.613,148.835,4.0,rock-n-roll
BTS,BE,Dynamite,85.0,199053.0,False,0.746,0.765,6.0,-4.41,0.0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4.0,k-pop
Jay Chou,11月的蕭邦,一路向北,60.0,294240.0,False,0.456,0.617,5.0,-6.252,1.0,0.0273,0.0133,5.95e-05,0.116,0.3,133.917,4.0,mandopop
Roy Orbison,The Essential Roy Orbison,"Oh, Pretty Woman",63.0,176933.0,False,0.609,0.584,9.0,-9.734,1.0,0.0353,0.725,0.0,0.0854,0.954,127.306,4.0,r-n-b
Hole,Live Through This,Doll Parts,60.0,211960.0,False,0.245,0.542,7.0,-7.159,1.0,0.0324,0.147,4.05e-06,0.102,0.365,204.824,4.0,grunge
Cyndi Lauper,She's So Unusual,Girls Just Want to Have Fun,79.0,238266.0,False,0.71,0.799,6.0,-4.897,1.0,0.0328,0.22,0.000602,0.349,0.725,120.372,4.0,disco
Vishal-Shekhar;Shreya Ghoshal;Sona Mohapatra,I Hate Luv Storys (Original Motion Picture Soundtrack),Bahara,64.0,325706.0,False,0.595,0.739,5.0,-6.733,1.0,0.0359,0.0716,6.98e-06,0.134,0.722,87.834,4.0,pop-film
Del Shannon,Runaway with Del Shannon,Runaway,62.0,137306.0,False,0.594,0.533,10.0,-7.993,0.0,0.0438,0.153,1.49e-05,0.172,0.729,78.552,4.0,rock-n-roll
Emiway Bantai,Machayenge,Machayenge,60.0,153077.0,False,0.807,0.628,8.0,-8.988,1.0,0.204,0.0146,0.0,0.0598,0.718,104.978,4.0,hip-hop
Simply Red,A New Flame (Expanded Version),If You Don't Know Me by Now - 2008 Remaster,71.0,204000.0,False,0.638,0.352,10.0,-9.266,1.0,0.0268,0.492,0.0,0.105,0.204,94.173,3.0,british
Clarx;Anikdote;Shiah Maisel;Catas;Le Malls;CHENDA,Numb The Pain,Numb The Pain,64.0,153088.0,False,0.552,0.86,8.0,-7.066,1.0,0.112,0.0408,0.0,0.365,0.448,136.01,4.0,edm
BTS,MAP OF THE SOUL : 7,Inner Child,70.0,233265.0,False,0.589,0.696,11.0,-7.981,1.0,0.0725,0.017,0.0,0.0808,0.33,134.953,4.0,k-pop
Atif Aslam;Tanishk Bagchi,"Tera Hua (From ""Loveyatri"")","Tera Hua (From ""Loveyatri"")",60.0,214002.0,False,0.426,0.688,2.0,-5.25,1.0,0.0443,0.351,0.0,0.0998,0.239,118.586,5.0,pop-film
Nora Van Elken,I Wanna Dance With Somebody (Who Loves Me),I Wanna Dance With Somebody (Who Loves Me),61.0,152476.0,False,0.804,0.82,6.0,-5.375,1.0,0.0408,0.398,0.0624,0.0992,0.564,117.99,4.0,deep-house
Hot Shade;Nomi Bontegard,Melodies,Melodies,60.0,160565.0,False,0.692,0.649,1.0,-5.376,1.0,0.0703,0.0691,0.0,0.0974,0.699,97.977,4.0,edm
Martin Garrix;Bonn,No Sleep (feat. Bonn),No Sleep (feat. Bonn),63.0,207094.0,False,0.44,0.635,11.0,-6.385,1.0,0.0326,0.129,0.0,0.121,0.327,128.133,4.0,edm
Ghost,IMPERA,Call Me Little Sunshine,72.0,284266.0,False,0.566,0.871,5.0,-4.833,1.0,0.0311,0.000674,0.00144,0.107,0.41,88.012,4.0,hard-rock
Original Broadway Cast of Hamilton,Hamilton (Original Broadway Cast Recording),Yorktown (The World Turned Upside Down),64.0,242587.0,True,0.76,0.883,9.0,-5.397,0.0,0.25,0.297,0.0,0.727,0.51,98.012,4.0,show-tunes
Buray;Arem Ozguc;Arman Aydin,Senin Yüzünden,Senin Yüzünden,62.0,173250.0,False,0.724,0.807,3.0,-4.021,0.0,0.0682,0.047,4.57e-05,0.0762,0.704,94.978,4.0,deep-house
Will Pan;Xian Zi,高手,不得不愛,60.0,281413.0,False,0.719,0.484,8.0,-7.898,1.0,0.0944,0.751,0.0,0.0776,0.438,79.995,4.0,mandopop
Rammstein,Sehnsucht,Engel,70.0,264266.0,False,0.637,0.658,2.0,-5.775,1.0,0.0291,0.00918,0.00229,0.295,0.328,96.072,4.0,industrial
6ix9ine;Anuel AA,DUMMY BOY,BEBE,72.0,217822.0,True,0.635,0.902,0.0,-3.559,1.0,0.109,0.172,0.0,0.125,0.285,102.062,4.0,emo
The White Stripes;The Glitch Mob,Seven Nation Army (The Glitch Mob Remix),Seven Nation Army - The Glitch Mob Remix,65.0,257021.0,False,0.701,0.844,4.0,-6.629,1.0,0.133,0.152,0.626,0.194,0.198,120.04,4.0,alt-rock
Harnoor,Waalian,Waalian,66.0,218523.0,False,0.617,0.392,1.0,-9.295,1.0,0.193,0.381,0.0,0.1,0.313,84.499,4.0,pop
Slipknot,Slipknot (10th Anniversary Edition),Wait and Bleed,73.0,147840.0,False,0.382,0.996,7.0,-4.119,1.0,0.104,0.00208,0.0,0.417,0.327,93.345,4.0,metal
Enigma,The Cross Of Changes,Return To Innocence,66.0,255466.0,False,0.476,0.584,10.0,-12.357,1.0,0.038,0.119,0.0,0.274,0.417,88.026,4.0,new-age
Dan + Shay,I Should Probably Go To Bed,I Should Probably Go To Bed,67.0,171826.0,False,0.721,0.277,1.0,-7.128,1.0,0.0365,0.634,0.0,0.112,0.309,131.935,4.0,country
Paul Kalkbrenner;Fritz Kalkbrenner,Berlin Calling (The Soundtrack by Paul Kalkbrenner),Sky and Sand,68.0,230500.0,False,0.791,0.329,10.0,-12.906,0.0,0.0592,0.6,0.863,0.193,0.526,127.021,4.0,electronic
Thomas Day,not my job anymore,not my job anymore,68.0,188074.0,False,0.534,0.441,11.0,-7.071,1.0,0.0362,0.525,0.0,0.258,0.113,140.137,4.0,singer-songwriter
Mohit Chauhan;Suzanne D'Mello,Rockstar,Tum Ho,64.0,316500.0,False,0.356,0.47,5.0,-8.929,1.0,0.0278,0.518,1e-05,0.0807,0.167,93.895,4.0,pop-film
Boyce Avenue,"Cover Sessions, Vol. 4",In Case You Didn’t Know,60.0,225165.0,False,0.633,0.299,11.0,-7.798,1.0,0.0353,0.833,0.0,0.109,0.341,147.549,4.0,acoustic
OneRepublic,Top Gun: Maverick (Music From The Motion Picture),I Ain't Worried,73.0,148485.0,False,0.704,0.797,0.0,-5.927,1.0,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4.0,piano
CoComelon,"CoComelon Kids Hits, Vol. 3",Twinkle Twinkle Little Star,67.0,177477.0,False,0.459,0.206,0.0,-9.694,1.0,0.0282,0.673,0.0,0.294,0.354,160.072,4.0,children
Tove Lo;Channel Tres,Dirt Femme,Attention Whore (feat. Channel Tres),63.0,190835.0,True,0.749,0.694,8.0,-8.879,0.0,0.0951,0.0134,0.765,0.136,0.688,123.037,4.0,swedish
Kep1er,FIRST IMPACT,WA DA DA,74.0,183693.0,False,0.785,0.907,10.0,-2.657,1.0,0.0938,0.00122,3.11e-06,0.213,0.685,126.004,4.0,k-pop
The Beatles,The Beatles (Remastered),Blackbird - Remastered 2009,74.0,138386.0,False,0.686,0.127,7.0,-14.361,1.0,0.0342,0.754,1.41e-05,0.0573,0.372,93.699,4.0,british
Yusuf / Cat Stevens,Teaser And The Firecat (Remastered 2021),The Wind - Remastered 2021,67.0,102986.0,False,0.765,0.291,2.0,-14.456,1.0,0.0397,0.787,0.000446,0.149,0.806,115.751,4.0,british
Billie Eilish,Happier Than Ever,Male Fantasy,74.0,194886.0,False,0.687,0.288,2.0,-10.415,1.0,0.045,0.863,0.0,0.0986,0.308,110.927,4.0,electro
Sohodolls,Bang Bang Bang Bang 2021,Bang Bang Bang Bang - Remastered 2021,64.0,168339.0,False,0.719,0.566,1.0,-5.951,1.0,0.0354,0.207,3.71e-06,0.105,0.408,93.984,4.0,electronic
Ozuna,OzuTochi,Días y Meses,62.0,192320.0,False,0.842,0.579,1.0,-5.504,1.0,0.0556,0.119,0.126,0.137,0.7,95.005,4.0,latin
Zaeden,tere bina,tere bina,68.0,157245.0,False,0.889,0.341,7.0,-7.909,1.0,0.0424,0.117,3.7e-06,0.0734,0.942,118.003,4.0,edm
Daddy Yankee,Shaky Shaky,Shaky Shaky,65.0,234320.0,False,0.899,0.626,6.0,-4.228,0.0,0.292,0.076,0.0,0.0631,0.873,88.007,4.0,latino
Fall Out Boy,American Beauty/American Psycho,Uma Thurman,68.0,211573.0,False,0.623,0.962,4.0,-2.616,0.0,0.0895,0.103,0.000174,0.264,0.676,149.963,4.0,emo
Becky G,Shower,Shower,78.0,206166.0,False,0.699,0.529,2.0,-7.548,1.0,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,4.0,dance
Duffy,Rockferry,Warwick Avenue,67.0,226386.0,False,0.493,0.59,0.0,-5.814,0.0,0.0392,0.339,0.0,0.121,0.502,169.908,4.0,british
Gym Class Heroes;Adam Levine,The Papercut Chronicles II,Stereo Hearts (feat. Adam Levine),82.0,210960.0,False,0.646,0.795,9.0,-3.293,1.0,0.0976,0.0319,0.0,0.267,0.796,89.99,4.0,dance
New Times,Summer Jam,Summer Jam,61.0,137704.0,False,0.736,0.487,3.0,-11.856,0.0,0.0334,0.533,0.0,0.299,0.581,122.05,4.0,deep-house
Rammstein,Herzeleid (XXV Anniversary Edition – Remastered),Wollt ihr das Bett in Flammen sehen,63.0,315850.0,False,0.673,0.766,2.0,-7.342,1.0,0.0394,2.37e-05,0.673,0.699,0.641,129.928,4.0,industrial
Sachet Tandon;Parampara Tandon;Sachin-Jigar,Shiddat,Jug Jug Jeeve,70.0,199174.0,False,0.559,0.632,5.0,-7.58,0.0,0.0608,0.413,0.0,0.118,0.699,90.097,4.0,pop
Gentrammel,Out Of My Mind,Out Of My Mind,71.0,173846.0,True,0.61,0.609,9.0,-7.193,1.0,0.0372,0.663,0.0,0.61,0.659,78.009,4.0,sad
Frank Ocean,Novacane,Novacane,81.0,302346.0,True,0.762,0.508,3.0,-9.112,1.0,0.0919,0.0584,0.00126,0.16,0.37,93.51,4.0,soul
Alonzo;Ninho;Naps,QUARTIERS NORD,TOUT VA BIEN (feat. Ninho & Naps),79.0,192960.0,True,0.66,0.72,3.0,-5.874,0.0,0.0753,0.301,0.0,0.226,0.628,99.937,4.0,french
All Time Low,Nothing Personal (Deluxe Version),Therapy,60.0,224200.0,False,0.313,0.713,9.0,-4.489,1.0,0.0327,0.0258,0.0,0.135,0.196,169.871,4.0,punk-rock
Stephen Sanchez,Until I Found You (Piano Version),Until I Found You - Piano Version,74.0,184895.0,False,0.603,0.148,7.0,-10.449,1.0,0.0279,0.927,0.0,0.101,0.228,95.451,3.0,singer-songwriter
Anton Powers;Redondo,Make Your Move,Make Your Move,61.0,168991.0,False,0.647,0.992,4.0,-2.748,0.0,0.0971,0.0248,0.106,0.156,0.555,124.0,4.0,groove
Sona Mohapatra;Armaan Malik,Khoobsurat,Naina,63.0,225568.0,False,0.495,0.556,3.0,-7.49,1.0,0.041,0.638,0.0,0.123,0.366,159.996,4.0,pop-film
G-Eazy;Bebe Rexha,When It's Dark Out,"Me, Myself & I",78.0,251466.0,True,0.756,0.674,0.0,-6.518,0.0,0.0959,0.0184,0.0,0.158,0.389,111.995,4.0,indie-pop
Nickelback,All the Right Reasons,Savin' Me,70.0,219320.0,False,0.441,0.815,3.0,-4.088,1.0,0.0276,0.000731,0.0,0.414,0.522,164.007,4.0,grunge
Paramore,Riot!,crushcrushcrush,65.0,189373.0,False,0.631,0.793,1.0,-4.086,0.0,0.0468,0.000218,5.65e-05,0.0976,0.648,136.96,4.0,emo
Gracie Abrams,minor,"I miss you, I’m sorry",73.0,167538.0,False,0.445,0.455,7.0,-6.405,1.0,0.0575,0.731,1.47e-06,0.124,0.151,109.885,5.0,indie-pop
Little Mix,Glory Days (Expanded Edition),Power,78.0,247840.0,False,0.566,0.855,7.0,-4.016,1.0,0.211,0.0372,0.000157,0.181,0.517,172.966,4.0,dance
ssshhhiiittt!,Последнее лето (Часть 2),Танцы,59.0,175053.0,True,0.481,0.972,7.0,-1.647,0.0,0.0576,0.144,0.000184,0.789,0.856,159.905,4.0,punk
All Good Things,Machines,For the Glory,65.0,279308.0,False,0.485,0.892,2.0,-3.586,0.0,0.0809,0.000443,0.0,0.1,0.576,142.046,4.0,blues
Mrs. GREEN APPLE,Attitude,インフェルノ,68.0,211600.0,False,0.533,0.918,4.0,-2.095,1.0,0.0616,0.00894,0.0,0.643,0.662,92.504,4.0,anime
Joe Cocker;Jennifer Warnes,The Anthology,"Up Where We Belong - From ""An Officer And A Gentleman""",70.0,232666.0,False,0.624,0.306,2.0,-11.831,1.0,0.0318,0.634,2.67e-05,0.0632,0.227,139.912,4.0,blues
BTS,Love Yourself 結 'Answer',Go Go,60.0,235779.0,False,0.856,0.617,10.0,-5.308,0.0,0.084,0.171,0.0,0.0857,0.759,136.081,4.0,k-pop
Ellie Goulding,Fifty Shades Freed (Original Motion Picture Soundtrack),Love Me Like You Do,79.0,253520.0,False,0.489,0.597,5.0,-6.633,0.0,0.0292,0.27,0.0,0.105,0.324,95.012,4.0,dance
Glass Animals,How To Be A Human Being,The Other Side Of Paradise,72.0,320654.0,True,0.689,0.338,11.0,-7.634,0.0,0.0629,0.349,5.7e-05,0.0649,0.568,128.012,4.0,indie-pop
Die Zipfelbuben;DJ Cashi,Olivia,Olivia,74.0,180157.0,False,0.666,0.942,1.0,-2.928,1.0,0.0689,0.0307,0.0,0.246,0.832,141.913,4.0,disco
Jane Good;Samuel Miller,The One,The One,64.0,125347.0,False,0.644,0.632,2.0,-5.927,0.0,0.0376,0.162,0.342,0.132,0.219,114.986,4.0,french
Robin Schulz;David Guetta,On Repeat,On Repeat,73.0,190217.0,False,0.609,0.801,1.0,-8.483,0.0,0.0694,0.0246,0.00255,0.37,0.202,122.958,4.0,deep-house
Dr. Dre;Eminem;Skylar Grey,I Need A Doctor,I Need A Doctor,72.0,283733.0,True,0.594,0.946,3.0,-4.521,1.0,0.452,0.0869,0.0,0.306,0.397,155.826,4.0,funk
SadBoyProlific,Not Enough,Not Enough,62.0,108120.0,True,0.844,0.402,11.0,-8.643,0.0,0.109,0.92,0.0,0.102,0.471,91.044,4.0,sad
